file_name,file_type,rule_category,business_rule,confidence,modernization_recommendation
ACCOUNT.cbl,CBL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
ACCTOPEN.cbl,CBL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
AUTHCTRL.cbl,CBL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
BANKREC.cpy,CPY,Shared Data Structure,Defines reusable record layout or shared data structure.,High,Convert copybook layout into canonical schema or data contract.
CLAIMPAY.cbl,CBL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
CLAIMREC.cpy,CPY,Shared Data Structure,Defines reusable record layout or shared data structure.,High,Convert copybook layout into canonical schema or data contract.
CLAIMS.cbl,CBL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
CLAIMS_HISTORY.sql,SQL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
CUSTOMER.cbl,CBL,Customer Master Data,Reads or updates customer master details.,High,Map CUSTOMER_MASTER to customer domain data model.
CUSTOMER.cbl,CBL,Customer Audit,Calls customer audit process for customer risk tracking.,Medium,Review downstream audit dependency before API decomposition.
CUSTOMER.cbl,CBL,DB2 Data Processing,Performs database read/write operations as part of batch or transaction processing.,Medium,Include this asset in DB2 lineage and data migration assessment.
CUSTOMER_DB2.sql,SQL,Customer Master Data,Reads or updates customer master details.,High,Map CUSTOMER_MASTER to customer domain data model.
CUSTOMER_MIGRATION.sql,SQL,Customer Master Data,Reads or updates customer master details.,High,Map CUSTOMER_MASTER to customer domain data model.
CUSTREC.cpy,CPY,Shared Data Structure,Defines reusable record layout or shared data structure.,High,Convert copybook layout into canonical schema or data contract.
DAILYBATCH.jcl,JCL,Batch Orchestration,"Controls batch job execution, program sequencing, and dataset movement.",High,Convert JCL flow into cloud-native workflow orchestration.
EMPREC.cpy,CPY,Shared Data Structure,Defines reusable record layout or shared data structure.,High,Convert copybook layout into canonical schema or data contract.
ERRHANDL.cbl,CBL,Legacy Processing,Legacy asset used for mainframe batch processing or supporting application logic.,Low,Review manually for modernization scope.
